Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar 28 13:54:46 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
| design_1_wrapper                                                            |                                                                              (top) |              - |           35 |       2438 |       2376 |       0 |   62 | 2031 |      0 |     18 |            0 |
|   (design_1_wrapper)                                                        |                                                                              (top) |              - |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|   design_1_i                                                                |                                                                           design_1 |              - |            - |       2438 |       2376 |       0 |   62 | 2031 |      0 |     18 |            0 |
|     CLK_Gate_0                                                              |                                                              design_1_CLK_Gate_0_0 |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|       inst                                                                  |                                                     design_1_CLK_Gate_0_0_CLK_Gate |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|     CUSTOM_IP                                                               |                                                            design_1_CUSTOM_IPS_0_0 |              - |            - |       1774 |       1774 |       0 |    0 |  946 |      0 |     18 |            0 |
|       inst                                                                  |                                                                         CUSTOM_IPS | Reconfigurable |           35 |       1774 |       1774 |       0 |    0 |  946 |      0 |     18 |            0 |
|         (inst)                                                              |                                                                         CUSTOM_IPS | Reconfigurable |            - |         29 |         29 |       0 |    0 |    0 |      0 |      0 |            0 |
|         cnn_module                                                          |                                                                         cnn_module | Reconfigurable |            - |       1745 |       1745 |       0 |    0 |  946 |      0 |     18 |            0 |
|           (cnn_module)                                                      |                                                                         cnn_module | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|           MP                                                                |                                                                        max_pooling | Reconfigurable |            - |         34 |         34 |       0 |    0 |  136 |      0 |      0 |            0 |
|             (MP)                                                            |                                                                        max_pooling | Reconfigurable |            - |         34 |         34 |       0 |    0 |  136 |      0 |      0 |            0 |
|             genblk3[0].find_max                                             |                                                                           max_data | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|               genblk2[0].DUT                                                |                                                                       max_value_27 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|               genblk2[1].DUT                                                |                                                                       max_value_28 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|               genblk2[2].DUT                                                |                                                                       max_value_29 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|             genblk3[1].find_max                                             |                                                                        max_data_16 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|               genblk2[0].DUT                                                |                                                                       max_value_24 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|               genblk2[1].DUT                                                |                                                                       max_value_25 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
