Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sun Mar 10 16:44:45 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
| design_1_wrapper                                                            |                                                                              (top) |              - |           35 |       7681 |       6325 |    1104 |  252 | 5605 |      1 |      4 |            2 |
|   (design_1_wrapper)                                                        |                                                                              (top) |              - |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|   design_1_i                                                                |                                                                           design_1 |              - |            - |       7681 |       6325 |    1104 |  252 | 5605 |      1 |      4 |            2 |
|     CLK_Gate_0                                                              |                                                              design_1_CLK_Gate_0_0 |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|       inst                                                                  |                                                     design_1_CLK_Gate_0_0_CLK_Gate |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|     CUSTOM_IP                                                               |                                                            design_1_CUSTOM_IPS_0_0 |              - |            - |       7016 |       5722 |    1104 |  190 | 4520 |      1 |      4 |            2 |
|       inst                                                                  |                                                                         CUSTOM_IPS | Reconfigurable |           35 |       7016 |       5722 |    1104 |  190 | 4520 |      1 |      4 |            2 |
|         (inst)                                                              |                                                                         CUSTOM_IPS | Reconfigurable |            - |          8 |          8 |       0 |    0 |    0 |      0 |      0 |            0 |
|         S                                                                   |                                                                       Kyber_Server | Reconfigurable |            - |       7008 |       5714 |    1104 |  190 | 4520 |      1 |      4 |            2 |
|           (S)                                                               |                                                                       Kyber_Server | Reconfigurable |            - |        188 |         82 |       0 |  106 |  966 |      0 |      0 |            0 |
|           DFIFO0                                                            |                                                                   fifo_generator_4 | Reconfigurable |            - |        376 |        120 |     256 |    0 |   92 |      0 |      0 |            0 |
|             U0                                                              |                                            fifo_generator_4_fifo_generator_v13_2_2 | Reconfigurable |            - |        376 |        120 |     256 |    0 |   92 |      0 |      0 |            0 |
|               inst_fifo_gen                                                 |                                      fifo_generator_4_fifo_generator_v13_2_2_synth | Reconfigurable |            - |        376 |        120 |     256 |    0 |   92 |      0 |      0 |            0 |
|                 gconvfifo.rf                                                |                                                fifo_generator_4_fifo_generator_top | Reconfigurable |            - |        376 |        120 |     256 |    0 |   92 |      0 |      0 |            0 |
|                   grf.rf                                                    |                                            fifo_generator_4_fifo_generator_ramfifo | Reconfigurable |            - |        376 |        120 |     256 |    0 |   92 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.rd                                |                                                          fifo_generator_4_rd_logic | Reconfigurable |            - |         37 |         37 |       0 |    0 |   26 |      0 |      0 |            0 |
|                       grss.rsts                                             |                                                fifo_generator_4_rd_status_flags_ss | Reconfigurable |            - |          2 |          2 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         (grss.rsts)                                         |                                                fifo_generator_4_rd_status_flags_ss | Reconfigurable |            - |          1 |          1 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         c1                                                  |                                                         fifo_generator_4_compare_2 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|                         c2                                                  |                                                         fifo_generator_4_compare_3 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|                       rpntr                                                 |                                                       fifo_generator_4_rd_bin_cntr | Reconfigurable |            - |         35 |         35 |       0 |    0 |   24 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.wr                                |                                                          fifo_generator_4_wr_logic | Reconfigurable |            - |         35 |         35 |       0 |    0 |   42 |      0 |      0 |            0 |
|                       gwss.gpf.wrpf                                         |                                                          fifo_generator_4_wr_pf_ss | Reconfigurable |            - |          9 |          9 |       0 |    0 |   12 |      0 |      0 |            0 |
|                       gwss.wsts                                             |                                                fifo_generator_4_wr_status_flags_ss | Reconfigurable |            - |          5 |          5 |       0 |    0 |    3 |      0 |      0 |            0 |
|                         (gwss.wsts)                                         |                                                fifo_generator_4_wr_status_flags_ss | Reconfigurable |            - |          3 |          3 |       0 |    0 |    3 |      0 |      0 |            0 |
|                         c0                                                  |                                                           fifo_generator_4_compare | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|                         c1                                                  |                                                         fifo_generator_4_compare_0 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|                         gaf.c2                                              |                                                         fifo_generator_4_compare_1 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|                       wpntr                                                 |                                                       fifo_generator_4_wr_bin_cntr | Reconfigurable |            - |         21 |         21 |       0 |    0 |   27 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.mem                                   |                                                            fifo_generator_4_memory | Reconfigurable |            - |        304 |         48 |     256 |    0 |   24 |      0 |      0 |            0 |
|                       gdm.dm_gen.dm                                         |                                                              fifo_generator_4_dmem | Reconfigurable |            - |        304 |         48 |     256 |    0 |   24 |      0 |      0 |            0 |
|           DFIFO1                                                            |                                                                   fifo_generator_5 | Reconfigurable |            - |         62 |         34 |      28 |    0 |   42 |      0 |      0 |            0 |
|             U0                                                              |                                            fifo_generator_5_fifo_generator_v13_2_2 | Reconfigurable |            - |         62 |         34 |      28 |    0 |   42 |      0 |      0 |            0 |
|               inst_fifo_gen                                                 |                                      fifo_generator_5_fifo_generator_v13_2_2_synth | Reconfigurable |            - |         62 |         34 |      28 |    0 |   42 |      0 |      0 |            0 |
