Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 29 13:08:13 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
| design_1_wrapper                                                            |                                                                              (top) |              - |           35 |       5645 |       5583 |       0 |   62 | 5342 |      0 |      0 |            0 |
|   (design_1_wrapper)                                                        |                                                                              (top) |              - |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|   design_1_i                                                                |                                                                           design_1 |              - |            - |       5645 |       5583 |       0 |   62 | 5342 |      0 |      0 |            0 |
|     CLK_Gate_0                                                              |                                                              design_1_CLK_Gate_0_0 |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|       inst                                                                  |                                                     design_1_CLK_Gate_0_0_CLK_Gate |         Static |            - |          1 |          1 |       0 |    0 |    1 |      0 |      0 |            0 |
|     CUSTOM_IP                                                               |                                                            design_1_CUSTOM_IPS_0_0 |              - |            - |       4980 |       4980 |       0 |    0 | 4257 |      0 |      0 |            0 |
|       inst                                                                  |                                                                         CUSTOM_IPS | Reconfigurable |           35 |       4980 |       4980 |       0 |    0 | 4257 |      0 |      0 |            0 |
|         ON                                                                  |                                                                         openNocTop | Reconfigurable |            - |       4980 |       4980 |       0 |    0 | 4257 |      0 |      0 |            0 |
|           xs[0].ys[0].instnce.nbyn_instance                                 |                                                                             switch | Reconfigurable |            - |         38 |         38 |       0 |    0 |   99 |      0 |      0 |            0 |
|           xs[0].ys[1].instnce.nbyn_instance                                 |                                                             switch__parameterized0 | Reconfigurable |            - |         13 |         13 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[0].ys[2].instnce.nbyn_instance                                 |                                                             switch__parameterized1 | Reconfigurable |            - |        153 |        153 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[0].ys[3].instnce.nbyn_instance                                 |                                                             switch__parameterized2 | Reconfigurable |            - |         41 |         41 |       0 |    0 |   66 |      0 |      0 |            0 |
