Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Jan  3 16:55:34 2024
| Host         : sophitia running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+-----------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                      |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------------------------------------------------+-----------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
| design_1_wrapper                                                            |                                                                             (top) |              - |           37 |       4734 |       4672 |       0 |   62 | 3440 |     32 |      0 |            3 |
|   (design_1_wrapper)                                                        |                                                                             (top) |              - |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|   design_1_i                                                                |                                                                          design_1 |              - |            - |       4734 |       4672 |       0 |   62 | 3440 |     32 |      0 |            3 |
|     GSR_GPIO                                                                |                                                             design_1_axi_gpio_0_0 |         Static |            - |         34 |         34 |       0 |    0 |   36 |      0 |      0 |            0 |
|       U0                                                                    |                                                    design_1_axi_gpio_0_0_axi_gpio |         Static |            - |         34 |         34 |       0 |    0 |   36 |      0 |      0 |            0 |
|         (U0)                                                                |                                                    design_1_axi_gpio_0_0_axi_gpio |         Static |            - |          0 |          0 |       0 |    0 |    4 |      0 |      0 |            0 |
|         AXI_LITE_IPIF_I                                                     |                                               design_1_axi_gpio_0_0_axi_lite_ipif |         Static |            - |         30 |         30 |       0 |    0 |   28 |      0 |      0 |            0 |
|           I_SLAVE_ATTACHMENT                                                |                                            design_1_axi_gpio_0_0_slave_attachment |         Static |            - |         30 |         30 |       0 |    0 |   28 |      0 |      0 |            0 |
|             (I_SLAVE_ATTACHMENT)                                            |                                            design_1_axi_gpio_0_0_slave_attachment |         Static |            - |         20 |         20 |       0 |    0 |   22 |      0 |      0 |            0 |
|             I_DECODER                                                       |                                             design_1_axi_gpio_0_0_address_decoder |         Static |            - |         10 |         10 |       0 |    0 |    6 |      0 |      0 |            0 |
|               (I_DECODER)                                                   |                                             design_1_axi_gpio_0_0_address_decoder |         Static |            - |          8 |          8 |       0 |    0 |    6 |      0 |      0 |            0 |
|               MEM_DECODE_GEN[0].PER_CE_GEN[0].MULTIPLE_CES_THIS_CS_GEN.CE_I |                                                   design_1_axi_gpio_0_0_pselect_f |         Static |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|               MEM_DECODE_GEN[0].PER_CE_GEN[2].MULTIPLE_CES_THIS_CS_GEN.CE_I |                                   design_1_axi_gpio_0_0_pselect_f__parameterized1 |         Static |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|         gpio_core_1                                                         |                                                   design_1_axi_gpio_0_0_GPIO_Core |         Static |            - |          4 |          4 |       0 |    0 |    4 |      0 |      0 |            0 |
|     RISC_BENCHMARK_IP                                                       |                                                    design_1_RISC_BENCHMARK_IP_0_0 |              - |            - |       4070 |       4070 |       0 |    0 | 2356 |     32 |      0 |            3 |
